Entity,Code,Year,Deaths - Mental and substance use disorders - Sex: Both - Age: Under 5 (Rate),Deaths - Mental and substance use disorders - Sex: Both - Age: 70+ years (Rate),Deaths - Mental and substance use disorders - Sex: Both - Age: 5-14 years (Rate),Deaths - Mental and substance use disorders - Sex: Both - Age: 15-49 years (Rate),Deaths - Mental and substance use disorders - Sex: Both - Age: 50-69 years (Rate),Deaths - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate),Deaths - Mental and substance use disorders - Sex: Both - Age: All Ages (Rate)
Afghanistan,AFG,1990,0.0214693900378,4.11517680723,0.013152491884334453,0.23622806234778154,2.77390654973,0.14406674483465148,0.09923494401724847
Afghanistan,AFG,1991,0.021908647423999998,4.1831828155599995,0.012803965491490498,0.23350165071521728,2.83283506567,0.140653437950147,0.0998088642892643
Afghanistan,AFG,1992,0.0223491978992,4.2516921767,0.012524695259134975,0.23188290918664498,2.89835421761,0.13527904329761808,0.10468584726714095
Afghanistan,AFG,1993,0.022804439774300002,4.35094210722,0.012949269686231033,0.23778065780125393,2.97356954933,0.13304690016593662,0.11151583137592226
Afghanistan,AFG,1994,0.0232601359082,4.45988828506,0.01321852538343561,0.23991374498879484,3.05201608717,0.13007307122499948,0.11169393661741635
Afghanistan,AFG,1995,0.0234612921097,4.55530801913,0.0134530854350964,0.23786431992879914,3.10855920001,0.1262472475495604,0.1093466924201785
Afghanistan,AFG,1996,0.0234593941667,4.648158484980001,0.013144670710483133,0.2336393584411725,3.15324979736,0.12148418292281232,0.10575620413577293
Afghanistan,AFG,1997,0.0234275248707,4.73220066573,0.013111262086703667,0.2310470519963832,3.1862045026900003,0.11814851259003725,0.10286501862518944
Afghanistan,AFG,1998,0.0236351540151,4.80653677197,0.013020433165066818,0.22755546016579592,3.21104482484,0.11521469700993689,0.09957937051763598
Afghanistan,AFG,1999,0.0244462183198,4.92277091441,0.012776794980172366,0.1961182196019462,3.2594202963699996,0.10249826636998914,0.08394245261239144
Afghanistan,AFG,2000,0.025463210295000004,5.03353622835,0.012416407378114573,0.1643333528945864,3.3151801750199996,0.0903144716261102,0.06940796130822217
Afghanistan,AFG,2001,0.0268812280208,5.1490363520299995,0.012432043341022318,0.150153264541856,3.3828045063100003,0.08486229449290622,0.0629570215003151
Afghanistan,AFG,2002,0.028222628929199998,5.24260807995,0.01258714528572597,0.14280052322699258,3.4281906103199997,0.08199056496503045,0.06050952319188315
Afghanistan,AFG,2003,0.0289450449972,5.32458560227,0.016580742104254396,0.14138769013145394,3.4690032352799998,0.08194169124004683,0.06174638296703984
Afghanistan,AFG,2004,0.0290481137581,5.3933662594100005,0.018181977620190762,0.14299356513935252,3.5082220120099996,0.08246816353539377,0.06296568139489804
Afghanistan,AFG,2005,0.028772864703400004,5.45157087238,0.018554555685934254,0.14263303198185606,3.5365926012399997,0.08197059108213367,0.06362554408751346
Afghanistan,AFG,2006,0.027907399983700003,5.50544004448,0.018537132865409048,0.1446619661028404,3.5492588238000002,0.08257146631680026,0.06480205643776538
Afghanistan,AFG,2007,0.026986037182999998,5.54280991072,0.0185652277694383,0.14648650928392587,3.55026046269,0.08345511724132311,0.06634454616306751
Afghanistan,AFG,2008,0.0262863334172,5.5743392383299994,0.01779497505037305,0.14753266227663708,3.55286599256,0.08403822104566727,0.06803539552565374
Afghanistan,AFG,2009,0.025674183952100003,5.5900454482,0.017173305233103633,0.15084423141119066,3.5397139624800005,0.08555373874630776,0.07054491917988863
Afghanistan,AFG,2010,0.025177802191000003,5.607608475629999,0.017957934935746277,0.15594757830990932,3.52890227577,0.08816831701410517,0.0744325411806219
Afghanistan,AFG,2011,0.025078653484699998,5.6264113259099995,0.018102335667663755,0.1611018358750231,3.51971847403,0.09060800761321418,0.07821291251092573
Afghanistan,AFG,2012,0.0250200653313,5.63806878631,0.01789827816592431,0.1674314186680195,3.5128273952700004,0.09330395070763044,0.08216567661674208
Afghanistan,AFG,2013,0.024935249136,5.63512829775,0.019131264356603585,0.1737558607729444,3.5101522792,0.09612094206765258,0.0865042790330431
Afghanistan,AFG,2014,0.024787446337199998,5.63087295533,0.01929902426005301,0.17996595673145716,3.51266728156,0.09876372029051919,0.0900921785243994
Afghanistan,AFG,2015,0.0244968340734,5.6130220051199995,0.01905389293978619,0.18692771314453502,3.51812703068,0.1018257140969255,0.09348184518547248
Afghanistan,AFG,2016,0.0241710530936,5.6290406945,0.019514016211523384,0.1945173363932145,3.52535395734,0.10535899659612302,0.09729633986967115
Afghanistan,AFG,2017,,,0.019692192400433888,0.2008989927516312,,0.10839856474643454,0.10048327093732108
Albania,ALB,1990,0.00268669839235,1.53272082626,0.021431489541133622,1.154824160265011,1.17704866967,0.6004025356498329,0.5891758458127058
Albania,ALB,1991,0.00261284410821,1.64903113231,0.02403624769744066,1.1901156058725957,1.21816164943,0.6187243551161561,0.6070588858925341
Albania,ALB,1992,0.0025950304952700003,1.74385245445,0.025063927047389804,1.1849239706699408,1.2490709265500002,0.6169640257944041,0.6046409014902975
Albania,ALB,1993,0.0025964545841,1.98815848382,0.024813678509615935,1.1578063445009177,1.33134220339,0.6025911064895462,0.5912198652009883
Albania,ALB,1994,0.00257094425757,2.31362771627,0.025963826343659843,1.1399218405122813,1.44959740658,0.5919154197015968,0.58299952631919
Albania,ALB,1995,0.00251722508182,2.64605323359,0.02748645165825627,1.162376578741332,1.57367024823,0.6020890861990554,0.5953536771576488
Albania,ALB,1996,0.00246498346171,2.84647578959,0.028862947433822006,1.2040394168132833,1.6344882506199998,0.6215301753107587,0.6173246127639064
Albania,ALB,1997,0.0024359541794699998,2.99264701796,0.029012214623347455,1.2298111181487965,1.6769202518500002,0.6343586104022524,0.63156653305025
Albania,ALB,1998,0.00241531136984,3.29450998386,0.0291742315399802,1.2619605803273546,1.79225565504,0.6556904964325592,0.6632673283087573
Albania,ALB,1999,0.00240362212975,3.4342833645799997,0.030159221529502827,1.3976028862796233,1.82860192743,0.720473143831709,0.7337097798426293
Albania,ALB,2000,0.00246226014732,3.8543434695200003,0.03317259639079835,1.4612131995753903,1.95882443579,0.7460687955580043,0.7501235943666552
Albania,ALB,2001,0.00255840377832,4.4140258719,0.037707999807168435,1.498039422890709,2.13461023059,0.7676561087356404,0.771539137382915
Albania,ALB,2002,0.00269848336564,4.69071697345,0.0397083386090394,1.6099587887778033,2.2265338374600003,0.8266496807943351,0.8305914179619733
Albania,ALB,2003,0.0028517749959400002,4.83514130875,0.04008941117153466,1.7593238968293559,2.26974987788,0.9062063384720833,0.9089020567694364
