Entity,Year,Mental disorders prevalence (Percent),Share of deaths from suicide (Percent),Mental and substance use disorder deaths (Rate),gdp_current,gdp_per_capita,health expenditure (per capita),health expenditure (% GDP),unemployment rate,Income group,Income,Mental disorders burden (Percent),Suicide rate
Afghanistan,2000,0.1793926927393828,0.0044253212786085,0.000903144716261102,0.0011742287187204536,0.003059047705847198,0.004417714971553863,0.44898577384673294,0.10805999760000001,Low income,0.004696635675261191,0.0189388212535364,0.077
Afghanistan,2001,0.17933525004544554,0.0045753095697461,0.0008486229449290621,0.0011742287187204536,0.003059047705847198,0.004417714971553863,0.44898577384673294,0.1080900002,Low income,0.004696635675261191,0.0196398424328996,0.079
Afghanistan,2002,0.1791654686478037,0.004619041514481,0.000819905649650304,0.000279560496519796,0.0005462581196954998,0.001162315696389701,0.42714794103294446,0.1125699997,Low income,0.004696635675261191,0.0209064615120801,0.079
Afghanistan,2003,0.17889702417778983,0.0049059007227039,0.000819416912400468,0.00031180030746896873,0.0006373605629808967,0.0012872436426355925,0.40092675520428955,0.1114099979,Low income,0.004696635675261191,0.0224070664403631,0.077
Afghanistan,2004,0.17859903207922942,0.005149438165261301,0.000824681635353937,0.00036160619853368894,0.0008048672404106112,0.0016295208965901606,0.4462125253167351,0.10987999920000001,Low income,0.004696635675261191,0.0236017645391614,0.078
Afghanistan,2005,0.17824287050259022,0.005249469868837701,0.000819705910821336,0.0004303996184422546,0.0010529051052090535,0.0019820063579928295,0.4535136983198193,0.1121700001,Low income,0.004696635675261191,0.0247026110991657,0.076
Afghanistan,2006,0.1777296359703334,0.005298653799252601,0.0008257146631680019,0.0004837719346252153,0.0012285371771958119,0.0023819595568692715,0.4887346579465602,0.1109899998,Low income,0.004696635675261191,0.025583291376608402,0.076
Afghanistan,2007,0.1768658589341464,0.005373046388534599,0.0008345511724132309,0.0006782135068008332,0.002005117743429334,0.0027301405782576005,0.4512361156024966,0.1130099964,Low income,0.004696635675261191,0.026741101943902505,0.07400000000000001
Afghanistan,2008,0.1758137223680261,0.0055283883521449,0.000840382210456672,0.0007035237154231882,0.0020453420197773416,0.003422477333487572,0.4696081222247543,0.11093000410000001,Low income,0.004696635675261191,0.0281149898515447,0.07200000000000001
Afghanistan,2009,0.1748152902997547,0.0056706734994754,0.000855537387463077,0.0008650700889819469,0.002632920665198055,0.0037893901917973277,0.4467354320909693,0.1131099987,Low income,0.003929838013994057,0.029545360898759802,0.068
